Area,Area Code,Item,Item Code,current_year,current_area_harvested_ha,current_production_t,current_yield_kg/ha,beta,beta_std_err,n_obs
Africa,5100,"Roots and Tubers, Total",1720,2023,45154831.0,378788295.31,8388.7,0.477758681657529,0.10269915750568939,62
Africa,5100,Rye,71,2023,51012.0,95317.69,1868.5,0.34032749624448383,0.09212275130868434,62
Africa,5100,Safflower seed,280,2023,32984.0,23720.07,719.1,0.9400160006693202,0.028347136908821603,60
Africa,5100,"Seed cotton, unginned",328,2023,4837544.0,5008008.2,1035.2,0.5906096753986103,0.07976658171158071,62
Africa,5100,Sesame seed,289,2023,8206429.0,3789950.68,461.8,0.7115295055974072,0.11922497798833499,62
Africa,5100,"Sisal, raw",789,2023,136844.0,105221.16,768.9,0.5702256862702052,0.10960393539138484,62
Africa,5100,Sorghum,83,2023,27654217.0,25954457.96,938.5,0.6506117971548875,0.06623517948614312,62
Africa,5100,Soya beans,236,2023,5028487.0,7337956.03,1459.3,0.6196902209229155,0.10776837568325912,62
Africa,5100,Spinach,373,2023,13580.0,191604.35,14109.8,0.7801056427457961,0.11211652243592286,62
Africa,5100,Strawberries,544,2023,26007.0,892690.8,34324.7,0.550484000349847,0.08792114998964895,62
Africa,5100,String beans,423,2023,10985.0,221552.66,20169.4,0.6923365828687854,0.1131450237384436,34
Africa,5100,Sugar Crops Primary,1723,2023,1746010.0,109538398.15,62736.4,0.4328751219655312,0.049264329694981485,62
Africa,5100,Sugar beet,157,2023,277120.0,14370022.98,51854.9,0.6400834945720573,0.08473115283131173,62
Africa,5100,Sugar cane,156,2023,1468889.0,95168375.16,64789.3,0.4332471633834853,0.04999527283957954,62
Africa,5100,Sunflower seed,267,2023,2568877.0,2615580.7,1018.2,0.523948611966319,0.057625378365619824,62
Africa,5100,Sweet potatoes,122,2023,4365172.0,31163268.53,7139.1,0.8065302573550232,0.11888914380915963,62
Africa,5100,"Tangerines, mandarins, clementines",495,2023,190271.0,3410168.03,17922.7,0.012684253356784744,0.10121878382815366,62
Africa,5100,Taro,136,2023,2196673.0,15143257.37,6893.7,0.4443617013751678,0.12254938484452556,62
Africa,5100,Tea leaves,667,2023,397755.0,3698435.54,9298.3,0.05252931053099537,0.024678611337334087,62
Africa,5100,Tomatoes,388,2023,1891463.0,23127794.54,12227.5,0.30920453246188717,0.08906986280285661,62
Africa,5100,"Treenuts, Total",1729,2023,4538990.0,3058250.22,673.8,0.6896015459399454,0.08486495391749077,62
Africa,5100,Triticale,97,2023,10387.0,22418.29,2158.3,0.6680832552814431,0.06287736469302348,35
Africa,5100,Tung nuts,275,2023,8215.0,7317.27,890.7,0.5321193027413937,0.052283704049386266,62
Africa,5100,Unmanufactured tobacco,826,2023,580082.0,662382.68,1141.9,0.40467098231666127,0.08134616770030079,62
Africa,5100,"Vanilla, raw",692,2023,75780.0,3562.78,47.0,0.21472394415554416,0.07844215174665908,62
Africa,5100,Vegetables Primary,1735,2023,10999154.0,92225353.84,8384.8,0.5680866264057104,0.10543773779536936,62
Africa,5100,Vetches,205,2023,149947.0,339877.73,2266.7,0.39079869014925656,0.0627522614370855,62
Africa,5100,"Walnuts, in shell",222,2023,110299.0,178311.92,1616.6,0.42963315063345786,0.14259760719434894,38
Africa,5100,Watermelons,567,2023,338447.0,7842836.17,23173.0,0.7453542930188286,0.07455135500084581,62
Africa,5100,Wheat,15,2023,9205037.0,26348748.03,2862.4,0.3986051705995527,0.04573518588508317,62
Africa,5100,Yams,137,2023,10466701.0,87644729.65,8373.7,0.3719438066781775,0.11383444645947577,62
Albania,3,Apples,515,2023,4365.0,97273.87,22284.2,0.647905889008061,0.1258321683653281,38
Albania,3,Apricots,526,2023,354.0,5578.33,15751.3,0.4676305627875554,0.12139219649648741,38
Albania,3,Barley,44,2023,6260.0,21178.8,3383.2,0.43355674586121457,0.05360838297878474,62
Albania,3,"Beans, dry",176,2023,12197.0,23307.2,1910.9,0.5200396826774056,0.06757086468527522,62
Albania,3,"Broad beans and horse beans, dry",181,2023,175.0,208.1,1191.1,0.9263431215820732,0.03482988784303877,28
Albania,3,"Broad beans and horse beans, green",420,2023,26.0,129.34,4992.1,0.8890967315725224,0.017963982688086154,27
Albania,3,Cabbages,358,2023,1948.0,68705.2,35277.8,1.0751866301652304,0.12015994601222175,33
Albania,3,Cantaloupes and other melons,568,2023,1721.0,52062.3,30248.0,0.4071968515422328,0.05513281129852353,20
Albania,3,Carrots and turnips,426,2023,425.0,16122.2,37953.3,0.9447718592476302,0.10165689934819963,33
Albania,3,Cauliflowers and broccoli,393,2023,355.0,7373.5,20767.5,0.7696223736060395,0.20469060722187252,33
Albania,3,"Cereals, primary",1717,2023,135654.0,701314.38,5169.9,0.48518544359057353,0.037158210543432844,62
Albania,3,Cherries,531,2023,2315.0,19695.6,8508.4,0.6713737363690319,0.10309727453578003,38
Albania,3,"Chestnuts, in shell",220,2023,2429.0,6343.6,2612.1,0.20360079834385503,0.1527029280855941,27
Albania,3,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",401,2023,3179.0,104982.3,33022.3,0.9336109613853733,0.0913615304543218,33
Albania,3,"Citrus Fruit, Total",1804,2023,1433.0,56728.61,39584.0,0.14741181919513027,0.11836306818242064,38
Albania,3,Cucumbers and gherkins,397,2023,2725.0,128844.9,47289.1,0.8621571706368206,0.08355720384560013,33
Albania,3,Dates,577,2023,490.0,14916.0,30440.8,0.6923308598611084,0.12496097544709535,19
Albania,3,Eggplants (aubergines),399,2023,1157.0,33228.5,28731.5,0.9086537172156142,0.104735459827062,33
Albania,3,"Fibre Crops, Fibre Equivalent",17530,2023,725.0,281.13,387.8,0.7489278025909192,0.04947428960548963,62
Albania,3,Figs,569,2023,1518.0,23350.24,15379.6,1.5338895675973852,0.27033402140738433,38
Albania,3,Fruit Primary,1738,2023,36251.0,841389.13,23209.9,0.020648747907529817,0.1631451977224598,62
Albania,3,Grapes,560,2023,9822.0,179705.3,18296.6,0.14722939854809222,0.08437976172472648,62
Albania,3,Green garlic,406,2023,1062.0,16608.58,15643.4,1.2311587731931435,0.229938287511466,33
Albania,3,Hop cones,677,2023,2390.0,1813.5,758.7,1.007557181390825,0.014794630573236042,27
